,Symbol,Name,Score
115098,CCDC124,coiled-coil domain containing 124,1.731
100147773,LOC100147773,uncharacterized LOC100147773,1.731
4542,MYO1F,myosin IF,1.729
8402,SLC25A11,"solute carrier family 25 (mitochondrial carrier; oxoglutarate carrier), member 11",1.729
7056,THBD,thrombomodulin,1.729
92292,GLYATL1,glycine-N-acyltransferase-like 1,1.728
4005,LMO2,LIM domain only 2 (rhombotin-like 1),1.728
401190,RGS7BP,regulator of G-protein signaling 7 binding protein,1.728
26529,OR12D2,"olfactory receptor, family 12, subfamily D, member 2",1.727
26164,MTG2,mitochondrial ribosome-associated GTPase 2,1.726
139105,BEND2,BEN domain containing 2,1.725
25797,QPCT,glutaminyl-peptide cyclotransferase,1.724
126298,IRGQ,"immunity-related GTPase family, Q",1.724
2185,PTK2B,protein tyrosine kinase 2 beta,1.724
6622,SNCA,"synuclein, alpha (non A4 component of amyloid precursor)",1.724
537,ATP6AP1,"ATPase, H+ transporting, lysosomal accessory protein 1",1.723
3005,H1F0,"H1 histone family, member 0",1.723
149986,LSM14B,"LSM14B, SCD6 homolog B (S. cerevisiae)",1.723
785,CACNB4,"calcium channel, voltage-dependent, beta 4 subunit",1.722
57576,KIF17,kinesin family member 17,1.722
120066,OR5P3,"olfactory receptor, family 5, subfamily P, member 3",1.722
100996482,LOC100996482,putative uncharacterized protein encoded by LINC00269-like,1.722
8940,TOP3B,topoisomerase (DNA) III beta,1.722
57705,WDFY4,WDFY family member 4,1.722
203076,C8orf74,chromosome 8 open reading frame 74,1.721
10335,MRVI1,murine retrovirus integration site 1 homolog,1.721
8079,MLF2,myeloid leukemia factor 2,1.721
637,BID,BH3 interacting domain death agonist,1.72
6184,RPN1,ribophorin I,1.719
28562,TRBV25-1,T cell receptor beta variable 25-1,1.719
5894,RAF1,v-raf-1 murine leukemia viral oncogene homolog 1,1.719
55625,ZDHHC7,"zinc finger, DHHC-type containing 7",1.719
2571,GAD1,"glutamate decarboxylase 1 (brain, 67kDa)",1.718
10673,TNFSF13B,"tumor necrosis factor (ligand) superfamily, member 13b",1.718
55313,CPPED1,calcineurin-like phosphoesterase domain containing 1,1.717
2907,GRINA,"glutamate receptor, ionotropic, N-methyl D-aspartate-associated protein 1 (glutamate binding)",1.717
3557,IL1RN,interleukin 1 receptor antagonist,1.717
3104,ZBTB48,zinc finger and BTB domain containing 48,1.717
1495,CTNNA1,"catenin (cadherin-associated protein), alpha 1, 102kDa",1.716
55924,FAM212B,"family with sequence similarity 212, member B",1.714
92999,ZBTB47,zinc finger and BTB domain containing 47,1.714
84313,VPS25,vacuolar protein sorting 25 homolog (S. cerevisiae),1.713
115761,ARL11,ADP-ribosylation factor-like 11,1.712
56850,GRIPAP1,GRIP1 associated protein 1,1.712
23030,KDM4B,lysine (K)-specific demethylase 4B,1.712
5509,PPP1R3D,"protein phosphatase 1, regulatory subunit 3D",1.712
100329135,TRPC5OS,TRPC5 opposite strand,1.712
100129662,FGF13-AS1,FGF13 antisense RNA 1,1.711
8347,HIST1H2BC,"histone cluster 1, H2bc",1.71
23218,NBEAL2,neurobeachin-like 2,1.71
51296,SLC15A3,"solute carrier family 15 (oligopeptide transporter), member 3",1.71
6688,SPI1,spleen focus forming virus (SFFV) proviral integration oncogene,1.71
7132,TNFRSF1A,"tumor necrosis factor receptor superfamily, member 1A",1.71
7130,TNFAIP6,"tumor necrosis factor, alpha-induced protein 6",1.709
65094,JMJD4,jumonji domain containing 4,1.708
4851,NOTCH1,notch 1,1.708
56935,SMCO4,single-pass membrane protein with coiled-coil domains 4,1.708
50856,CLEC4A,"C-type lectin domain family 4, member A",1.707
5228,PGF,placental growth factor,1.707
6648,SOD2,"superoxide dismutase 2, mitochondrial",1.707
100507006,LOC100507006,uncharacterized LOC100507006,1.706
80331,DNAJC5,"DnaJ (Hsp40) homolog, subfamily C, member 5",1.705
54502,RBM47,RNA binding motif protein 47,1.705
10602,CDC42EP3,CDC42 effector protein (Rho GTPase binding) 3,1.704
2057,EPOR,erythropoietin receptor,1.704
1318,SLC31A2,"solute carrier family 31 (copper transporter), member 2",1.704
27236,ARFIP1,ADP-ribosylation factor interacting protein 1,1.703
5719,PSMD13,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 13",1.703
7249,TSC2,tuberous sclerosis 2,1.703
101927626,LOC101927626,uncharacterized LOC101927626,1.703
610,HCN2,hyperpolarization activated cyclic nucleotide-gated potassium channel 2,1.702
84283,TMEM79,transmembrane protein 79,1.702
9685,CLINT1,clathrin interactor 1,1.701
3801,KIFC3,kinesin family member C3,1.701
284021,MILR1,mast cell immunoglobulin-like receptor 1,1.701
9189,ZBED1,"zinc finger, BED-type containing 1",1.701
334,APLP2,amyloid beta (A4) precursor-like protein 2,1.7
9091,PIGQ,"phosphatidylinositol glycan anchor biosynthesis, class Q",1.7
101928615,LOC101928615,uncharacterized LOC101928615,1.7
929,CD14,CD14 molecule,1.699
11129,CLASRP,CLK4-associating serine/arginine rich protein,1.699
3553,IL1B,"interleukin 1, beta",1.699
80325,ABTB1,ankyrin repeat and BTB (POZ) domain containing 1,1.698
1084,CEACAM3,carcinoembryonic antigen-related cell adhesion molecule 3,1.697
25907,TMEM158,transmembrane protein 158 (gene/pseudogene),1.696
50486,G0S2,G0/G1switch 2,1.695
112464,PRKCDBP,"protein kinase C, delta binding protein",1.694
25801,GCA,"grancalcin, EF-hand calcium binding protein",1.693
4793,NFKBIB,"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta",1.693
100286938,VPS13A-AS1,VPS13A antisense RNA 1,1.691
10783,NEK6,NIMA-related kinase 6,1.69
8436,SDPR,serum deprivation response,1.69
116511,MAS1L,MAS1 oncogene-like,1.688
259215,LY6G6F,"lymphocyte antigen 6 complex, locus G6F",1.687
83463,MXD3,MAX dimerization protein 3,1.687
4298,MLLT1,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 1",1.687
220134,SKA1,spindle and kinetochore associated complex subunit 1,1.687
51382,ATP6V1D,"ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D",1.686
27004,TCL6,T-cell leukemia/lymphoma 6 (non-protein coding),1.686
163732,CITED4,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 4",1.685
9940,DLEC1,deleted in lung and esophageal cancer 1,1.685
55224,ETNK2,ethanolamine kinase 2,1.685
79641,ROGDI,rogdi homolog (Drosophila),1.685
100130855,USP3-AS1,USP3 antisense RNA 1,1.685
645,BLVRB,biliverdin reductase B (flavin reductase (NADPH)),1.684
79651,RHBDF2,rhomboid 5 homolog 2 (Drosophila),1.684
154865,IQUB,IQ motif and ubiquitin domain containing,1.683
6272,SORT1,sortilin 1,1.683
599,BCL2L2,BCL2-like 2,1.682
7391,USF1,upstream transcription factor 1,1.682
5058,PAK1,p21 protein (Cdc42/Rac)-activated kinase 1,1.681
79720,VPS37B,vacuolar protein sorting 37 homolog B (S. cerevisiae),1.681
64098,PARVG,"parvin, gamma",1.68
80301,PLEKHO2,"pleckstrin homology domain containing, family O member 2",1.68
124583,CANT1,calcium activated nucleotidase 1,1.679
56666,PANX2,pannexin 2,1.679
83931,STK40,serine/threonine kinase 40,1.679
64320,RNF25,ring finger protein 25,1.677
101927809,LOC101927809,uncharacterized LOC101927809,1.677
1488,CTBP2,C-terminal binding protein 2,1.676
55192,DNAJC17,"DnaJ (Hsp40) homolog, subfamily C, member 17",1.673
23583,SMUG1,single-strand-selective monofunctional uracil-DNA glycosylase 1,1.673
51099,ABHD5,abhydrolase domain containing 5,1.672
533,ATP6V0B,"ATPase, H+ transporting, lysosomal 21kDa, V0 subunit b",1.672
51094,ADIPOR1,adiponectin receptor 1,1.671
366,AQP9,aquaporin 9,1.668
5547,PRCP,prolylcarboxypeptidase (angiotensinase C),1.668
2831,NPBWR1,neuropeptides B/W receptor 1,1.667
10809,STARD10,StAR-related lipid transfer (START) domain containing 10,1.667
54566,EPB41L4B,erythrocyte membrane protein band 4.1 like 4B,1.666
116844,LRG1,leucine-rich alpha-2-glycoprotein 1,1.666
10326,SIRPB1,signal-regulatory protein beta 1,1.666
286359,LOC286359,uncharacterized LOC286359,1.666
53353,LRP1B,low density lipoprotein receptor-related protein 1B,1.665
4650,MYO9B,myosin IXB,1.663
100129034,LOC100129034,uncharacterized LOC100129034,1.663
345,APOC3,apolipoprotein C-III,1.662
124599,CD300LB,CD300 molecule-like family member b,1.662
2217,FCGRT,"Fc fragment of IgG, receptor, transporter, alpha",1.662
79627,OGFRL1,opioid growth factor receptor-like 1,1.662
201191,SAMD14,sterile alpha motif domain containing 14,1.662
2556,GABRA3,"gamma-aminobutyric acid (GABA) A receptor, alpha 3",1.661
84957,RELT,RELT tumor necrosis factor receptor,1.661
100507321,ERVK13-1,"endogenous retrovirus group K13, member 1",1.66
2864,FFAR1,free fatty acid receptor 1,1.66
126789,PUSL1,pseudouridylate synthase-like 1,1.66
5768,QSOX1,quiescin Q6 sulfhydryl oxidase 1,1.66
2771,GNAI2,"guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2",1.659
29895,MYLPF,"myosin light chain, phosphorylatable, fast skeletal muscle",1.659
4648,MYO7B,myosin VIIB,1.659
5681,PSKH1,protein serine kinase H1,1.659
9181,ARHGEF2,Rho/Rac guanine nucleotide exchange factor (GEF) 2,1.659
25987,TSKU,"tsukushi, small leucine rich proteoglycan",1.659
432,ASGR1,asialoglycoprotein receptor 1,1.656
1212,CLTB,"clathrin, light chain B",1.656
64419,MTMR14,myotubularin related protein 14,1.655
90007,MIDN,midnolin,1.654
11078,TRIOBP,TRIO and F-actin binding protein,1.654
3142,HLX,H2.0-like homeobox,1.653
23550,PSD4,pleckstrin and Sec7 domain containing 4,1.653
163154,PRR22,proline rich 22,1.653
5978,REST,RE1-silencing transcription factor,1.653
2355,FOSL2,FOS-like antigen 2,1.652
9961,MVP,major vault protein,1.652
51305,KCNK9,"potassium channel, subfamily K, member 9",1.652
10890,RAB10,"RAB10, member RAS oncogene family",1.652
23639,LRRC6,leucine rich repeat containing 6,1.651
6583,SLC22A4,"solute carrier family 22 (organic cation/zwitterion transporter), member 4",1.651
101929248,LOC101929248,uncharacterized LOC101929248,1.651
202243,CCDC125,coiled-coil domain containing 125,1.65
388886,FAM211B,"family with sequence similarity 211, member B",1.65
58528,RRAGD,Ras-related GTP binding D,1.65
5337,PLD1,"phospholipase D1, phosphatidylcholine-specific",1.647
978,CDA,cytidine deaminase,1.646
4112,MAGEB1,"melanoma antigen family B, 1",1.646
58476,TP53INP2,tumor protein p53 inducible nuclear protein 2,1.646
3071,NCKAP1L,NCK-associated protein 1-like,1.645
101928710,LOC101928710,uncharacterized LOC101928710,1.645
4435,CITED1,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 1",1.644
84281,C2orf88,chromosome 2 open reading frame 88,1.644
26301,GBGT1,"globoside alpha-1,3-N-acetylgalactosaminyltransferase 1",1.644
5644,PRSS1,"protease, serine, 1 (trypsin 1)",1.644
9545,RAB3D,"RAB3D, member RAS oncogene family",1.644
79626,TNFAIP8L2,"tumor necrosis factor, alpha-induced protein 8-like 2",1.644
290,ANPEP,alanyl (membrane) aminopeptidase,1.643
84787,SUV420H2,suppressor of variegation 4-20 homolog 2 (Drosophila),1.642
101928342,LOC101928342,uncharacterized LOC101928342,1.642
53829,P2RY13,"purinergic receptor P2Y, G-protein coupled, 13",1.641
30833,NT5C,"5', 3'-nucleotidase, cytosolic",1.64
9019,MPZL1,myelin protein zero-like 1,1.64
11006,LILRB4,"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 4",1.639
10533,ATG7,autophagy related 7,1.637
115795,FANCD2OS,FANCD2 opposite strand,1.636
10163,WASF2,"WAS protein family, member 2",1.636
54583,EGLN1,egl-9 family hypoxia-inducible factor 1,1.635
2268,FGR,feline Gardner-Rasheed sarcoma viral oncogene homolog,1.634
58986,TMEM8A,transmembrane protein 8A,1.634
1174,AP1S1,"adaptor-related protein complex 1, sigma 1 subunit",1.633
80216,ALPK1,alpha-kinase 1,1.633
54472,TOLLIP,toll interacting protein,1.633
80736,SLC44A4,"solute carrier family 44, member 4",1.632
6372,CXCL6,chemokine (C-X-C motif) ligand 6,1.631
101928120,LOC101928120,collagen alpha-1(III) chain-like,1.631
1845,DUSP3,dual specificity phosphatase 3,1.631
23097,CDK19,cyclin-dependent kinase 19,1.629
92799,SHKBP1,SH3KBP1 binding protein 1,1.629
11337,GABARAP,GABA(A) receptor-associated protein,1.628
219931,TPCN2,two pore segment channel 2,1.628
7447,VSNL1,visinin-like 1,1.628
1441,CSF3R,colony stimulating factor 3 receptor (granulocyte),1.627
144423,GLT1D1,glycosyltransferase 1 domain containing 1,1.627
100507391,LOC100507391,uncharacterized LOC100507391,1.627
527,ATP6V0C,"ATPase, H+ transporting, lysosomal 16kDa, V0 subunit c",1.626
6474,SHOX2,short stature homeobox 2,1.626
51673,TPPP3,tubulin polymerization-promoting protein family member 3,1.626
57132,CHMP1B,charged multivesicular body protein 1B,1.625
81577,GFOD2,glucose-fructose oxidoreductase domain containing 2,1.625
2766,GMPR,guanosine monophosphate reductase,1.625
200315,APOBEC3A,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3A",1.624
101928429,LOC101928429,uncharacterized LOC101928429,1.624
55727,BTBD7,BTB (POZ) domain containing 7,1.623
100506757,LINC00629,long intergenic non-protein coding RNA 629,1.621
1902,LPAR1,lysophosphatidic acid receptor 1,1.621
643008,SMIM5,small integral membrane protein 5,1.621
3833,KIFC1,kinesin family member C1,1.619
7942,TFEB,transcription factor EB,1.619
9645,MICAL2,"microtubule associated monooxygenase, calponin and LIM domain containing 2",1.618
4835,NQO2,"NAD(P)H dehydrogenase, quinone 2",1.617
84065,TMEM222,transmembrane protein 222,1.617
79807,GSTCD,"glutathione S-transferase, C-terminal domain containing",1.616
165140,OXER1,oxoeicosanoid (OXE) receptor 1,1.616
55589,BMP2K,BMP2 inducible kinase,1.615
55799,CACNA2D3,"calcium channel, voltage-dependent, alpha 2/delta subunit 3",1.614
10011,SRA1,steroid receptor RNA activator 1,1.614
51327,AHSP,alpha hemoglobin stabilizing protein,1.613
23626,SPO11,SPO11 meiotic protein covalently bound to DSB,1.613
101927775,LOC101927775,uncharacterized LOC101927775,1.613
9839,ZEB2,zinc finger E-box binding homeobox 2,1.613
439,ASNA1,"arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)",1.612
57706,DENND1A,DENN/MADD domain containing 1A,1.612
7226,TRPM2,"transient receptor potential cation channel, subfamily M, member 2",1.612
9911,TMCC2,transmembrane and coiled-coil domain family 2,1.611
7706,TRIM25,tripartite motif containing 25,1.611
6610,SMPD2,"sphingomyelin phosphodiesterase 2, neutral membrane (neutral sphingomyelinase)",1.61
374907,B3GNT8,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8",1.61
51311,TLR8,toll-like receptor 8,1.609
1545,CYP1B1,"cytochrome P450, family 1, subfamily B, polypeptide 1",1.608
2931,GSK3A,glycogen synthase kinase 3 alpha,1.608
101927007,LOC101927007,uncharacterized LOC101927007,1.607
9260,PDLIM7,PDZ and LIM domain 7 (enigma),1.606
6282,S100A11,S100 calcium binding protein A11,1.606
23498,HAAO,"3-hydroxyanthranilate 3,4-dioxygenase",1.605
1052,CEBPD,"CCAAT/enhancer binding protein (C/EBP), delta",1.605
8685,MARCO,macrophage receptor with collagenous structure,1.605
29108,PYCARD,PYD and CARD domain containing,1.605
5947,RBP1,"retinol binding protein 1, cellular",1.605
92421,CHMP4C,charged multivesicular body protein 4C,1.604
2658,GDF2,growth differentiation factor 2,1.604
6286,S100P,S100 calcium binding protein P,1.604
152007,GLIPR2,GLI pathogenesis-related 2,1.603
80161,ASMTL-AS1,ASMTL antisense RNA 1,1.602
80315,CPEB4,cytoplasmic polyadenylation element binding protein 4,1.601
8625,RFXANK,regulatory factor X-associated ankyrin-containing protein,1.601
4605,MYBL2,v-myb avian myeloblastosis viral oncogene homolog-like 2,1.601
6590,SLPI,secretory leukocyte peptidase inhibitor,1.6
8794,TNFRSF10C,"tumor necrosis factor receptor superfamily, member 10c, decoy without an intracellular domain",1.6
5336,PLCG2,"phospholipase C, gamma 2 (phosphatidylinositol-specific)",1.598
706,TSPO,translocator protein (18kDa),1.598
221749,PXDC1,PX domain containing 1,1.597
84449,ZNF333,zinc finger protein 333,1.597
64779,MTHFSD,methenyltetrahydrofolate synthetase domain containing,1.596
6461,SHB,Src homology 2 domain containing adaptor protein B,1.596
55350,VNN3,vanin 3,1.596
64746,ACBD3,acyl-CoA binding domain containing 3,1.595
6400,SEL1L,sel-1 suppressor of lin-12-like (C. elegans),1.595
120425,AMICA1,"adhesion molecule, interacts with CXADR antigen 1",1.594
340205,TREML1,triggering receptor expressed on myeloid cells-like 1,1.594
26127,FGFR1OP2,FGFR1 oncogene partner 2,1.593
79924,ADM2,adrenomedullin 2,1.592
92667,MGME1,mitochondrial genome maintenance exonuclease 1,1.592
213,ALB,albumin,1.591
10402,ST3GAL6,"ST3 beta-galactoside alpha-2,3-sialyltransferase 6",1.591
135886,WBSCR28,Williams-Beuren syndrome chromosome region 28,1.591
51512,GTSE1,G-2 and S-phase expressed 1,1.59
147798,TMC4,transmembrane channel-like 4,1.59
11314,CD300A,CD300a molecule,1.589
2128,EVX1,even-skipped homeobox 1,1.589
5359,PLSCR1,phospholipid scramblase 1,1.589
644903,FLJ38668,uncharacterized LOC644903,1.589
11057,ABHD2,abhydrolase domain containing 2,1.588
84824,FCRLA,Fc receptor-like A,1.588
9536,PTGES,prostaglandin E synthase,1.588
4072,EPCAM,epithelial cell adhesion molecule,1.587
8339,HIST1H2BG,"histone cluster 1, H2bg",1.587
8351,HIST1H3D,"histone cluster 1, H3d",1.587
9755,TBKBP1,TBK1 binding protein 1,1.587
400960,PCBP1-AS1,PCBP1 antisense RNA 1,1.586
5585,PKN1,protein kinase N1,1.586
54982,CLN6,"ceroid-lipofuscinosis, neuronal 6, late infantile, variant",1.585
8522,GAS7,growth arrest-specific 7,1.585
10367,MICU1,mitochondrial calcium uptake 1,1.585
133,ADM,adrenomedullin,1.583
390874,ONECUT3,one cut homeobox 3,1.582
116154,PHACTR3,phosphatase and actin regulator 3,1.582
83643,CCDC3,coiled-coil domain containing 3,1.581
1848,DUSP6,dual specificity phosphatase 6,1.58
3036,HAS1,hyaluronan synthase 1,1.578
23209,MLC1,megalencephalic leukoencephalopathy with subcortical cysts 1,1.578
134265,AFAP1L1,actin filament associated protein 1-like 1,1.577
93100,NAPRT1,nicotinate phosphoribosyltransferase domain containing 1,1.577
29982,NRBF2,nuclear receptor binding factor 2,1.577
1742,DLG4,"discs, large homolog 4 (Drosophila)",1.576
6904,TBCD,tubulin folding cofactor D,1.574
84878,ZBTB45,zinc finger and BTB domain containing 45,1.573
10875,FGL2,fibrinogen-like 2,1.572
640,BLK,B lymphoid tyrosine kinase,1.571
822,CAPG,"capping protein (actin filament), gelsolin-like",1.571
2050,EPHB4,EPH receptor B4,1.571
2357,FPR1,formyl peptide receptor 1,1.571
6813,STXBP2,syntaxin binding protein 2,1.571
286753,TUSC5,tumor suppressor candidate 5,1.57
55,ACPP,"acid phosphatase, prostate",1.569
37,ACADVL,"acyl-CoA dehydrogenase, very long chain",1.569
93661,CAPZA3,"capping protein (actin filament) muscle Z-line, alpha 3",1.569
55201,MAP1S,microtubule-associated protein 1S,1.569
101060400,LOC101060400,ankyrin repeat domain-containing protein 34A-like,1.568
80233,C17orf70,chromosome 17 open reading frame 70,1.568
11240,PADI2,"peptidyl arginine deiminase, type II",1.568
27113,BBC3,BCL2 binding component 3,1.567
5611,DNAJC3,"DnaJ (Hsp40) homolog, subfamily C, member 3",1.567
90120,C9orf69,chromosome 9 open reading frame 69,1.566
23538,OR52A1,"olfactory receptor, family 52, subfamily A, member 1",1.566
84820,POLR2J4,"polymerase (RNA) II (DNA directed) polypeptide J4, pseudogene",1.566
338692,ANKRD13D,"ankyrin repeat domain 13 family, member D",1.565
101929586,LOC101929586,uncharacterized LOC101929586,1.565
8928,FOXH1,forkhead box H1,1.563
23385,NCSTN,nicastrin,1.563
221,ALDH3B1,"aldehyde dehydrogenase 3 family, member B1",1.562
100506498,LOC100506498,uncharacterized LOC100506498,1.562
3759,KCNJ2,"potassium inwardly-rectifying channel, subfamily J, member 2",1.561
10409,BASP1,"brain abundant, membrane attached signal protein 1",1.56
80381,CD276,CD276 molecule,1.56
8438,RAD54L,RAD54-like (S. cerevisiae),1.56
55160,ARHGEF10L,Rho guanine nucleotide exchange factor (GEF) 10-like,1.558
101928697,LOC101928697,uncharacterized LOC101928697,1.558
645591,LHFPL3-AS1,LHFPL3 antisense RNA 1,1.557
84629,TNRC18,trinucleotide repeat containing 18,1.557
1593,CYP27A1,"cytochrome P450, family 27, subfamily A, polypeptide 1",1.556
7135,TNNI1,"troponin I type 1 (skeletal, slow)",1.556
51231,VRK3,vaccinia related kinase 3,1.556
9770,RASSF2,Ras association (RalGDS/AF-6) domain family member 2,1.555
11344,TWF2,twinfilin actin-binding protein 2,1.555
3597,IL13RA1,"interleukin 13 receptor, alpha 1",1.554
4900,NRGN,"neurogranin (protein kinase C substrate, RC3)",1.554
11172,INSL6,insulin-like 6,1.553
374887,YJEFN3,YjeF N-terminal domain containing 3,1.553
25932,CLIC4,chloride intracellular channel 4,1.552
3128,HLA-DRB6,"major histocompatibility complex, class II, DR beta 6 (pseudogene)",1.552
347730,LRRTM1,leucine rich repeat transmembrane neuronal 1,1.551
55048,VPS37C,vacuolar protein sorting 37 homolog C (S. cerevisiae),1.551
50515,CHST11,carbohydrate (chondroitin 4) sulfotransferase 11,1.55
3101,HK3,hexokinase 3 (white cell),1.55
55764,IFT122,intraflagellar transport 122 homolog (Chlamydomonas),1.55
118788,PIK3AP1,phosphoinositide-3-kinase adaptor protein 1,1.55
348,APOE,apolipoprotein E,1.548
79789,CLMN,"calmin (calponin-like, transmembrane)",1.548
1026,CDKN1A,"cyclin-dependent kinase inhibitor 1A (p21, Cip1)",1.548
4084,MXD1,MAX dimerization protein 1,1.548
53346,TM6SF1,transmembrane 6 superfamily member 1,1.548
2180,ACSL1,acyl-CoA synthetase long-chain family member 1,1.547
51162,EGFL7,"EGF-like-domain, multiple 7",1.547
3641,INSL4,insulin-like 4 (placenta),1.547
5089,PBX2,pre-B-cell leukemia homeobox 2,1.547
58480,RHOU,ras homolog family member U,1.547
124935,SLC43A2,"solute carrier family 43 (amino acid system L transporter), member 2",1.547
80086,TUBA4B,"tubulin, alpha 4b (pseudogene)",1.547
55859,BEX1,"brain expressed, X-linked 1",1.546
100507290,ZNF865,zinc finger protein 865,1.546
64342,HS1BP3,HCLS1 binding protein 3,1.545
23135,KDM6B,lysine (K)-specific demethylase 6B,1.545
7408,VASP,vasodilator-stimulated phosphoprotein,1.545
58191,CXCL16,chemokine (C-X-C motif) ligand 16,1.544
79689,STEAP4,STEAP family member 4,1.544
7168,TPM1,tropomyosin 1 (alpha),1.544
100294720,NHEG1,neuroblastoma highly expressed 1,1.543
4811,NID1,nidogen 1,1.543
6390,SDHB,"succinate dehydrogenase complex, subunit B, iron sulfur (Ip)",1.543
51635,DHRS7,dehydrogenase/reductase (SDR family) member 7,1.542
400410,ST20,suppressor of tumorigenicity 20,1.542
8778,SIGLEC5,sialic acid binding Ig-like lectin 5,1.541
7415,VCP,valosin containing protein,1.541
55959,SULF2,sulfatase 2,1.54
8992,ATP6V0E1,"ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1",1.538
10406,WFDC2,WAP four-disulfide core domain 2,1.538
9053,MAP7,microtubule-associated protein 7,1.537
10226,PLIN3,perilipin 3,1.537
8408,ULK1,unc-51 like autophagy activating kinase 1,1.537
146225,CMTM2,CKLF-like MARVEL transmembrane domain containing 2,1.536
55062,WIPI1,"WD repeat domain, phosphoinositide interacting 1",1.536
1191,CLU,clusterin,1.535
1611,DAP,death-associated protein,1.534
26167,PCDHB5,protocadherin beta 5,1.533
92129,RIPPLY1,ripply transcriptional repressor 1,1.533
10900,RUNDC3A,RUN domain containing 3A,1.533
51806,CALML5,calmodulin-like 5,1.532
84310,C7orf50,chromosome 7 open reading frame 50,1.532
158696,LINC00889,long intergenic non-protein coding RNA 889,1.532
338069,ST7-OT4,ST7 overlapping transcript 4,1.532
51330,TNFRSF12A,"tumor necrosis factor receptor superfamily, member 12A",1.532
83853,ROPN1L,rhophilin associated tail protein 1-like,1.531
7711,ZNF155,zinc finger protein 155,1.531
222183,SRRM3,serine/arginine repetitive matrix 3,1.53
339201,ASB16-AS1,ASB16 antisense RNA 1,1.528
57210,SLC45A4,"solute carrier family 45, member 4",1.528
401237,CASC15,cancer susceptibility candidate 15 (non-protein coding),1.527
255101,CCDC108,coiled-coil domain containing 108,1.527
101410538,MMP24-AS1,MMP24 antisense RNA 1,1.527
84519,ACRBP,acrosin binding protein,1.526
3611,ILK,integrin-linked kinase,1.526
968,CD68,CD68 molecule,1.525
58511,DNASE2B,deoxyribonuclease II beta,1.525
79180,EFHD2,"EF-hand domain family, member D2",1.525
23401,FRAT2,frequently rearranged in advanced T-cell lymphomas 2,1.525
29094,LGALSL,"lectin, galactoside-binding-like",1.525
84465,MEGF11,multiple EGF-like-domains 11,1.525
4924,NUCB1,nucleobindin 1,1.525
23646,PLD3,"phospholipase D family, member 3",1.525
10262,SF3B4,"splicing factor 3b, subunit 4, 49kDa",1.525
762,CA4,carbonic anhydrase IV,1.524
3007,HIST1H1D,"histone cluster 1, H1d",1.524
9314,KLF4,Kruppel-like factor 4 (gut),1.524
101928871,LOC101928871,uncharacterized LOC101928871,1.524
7504,XK,X-linked Kx blood group (McLeod syndrome),1.524
23582,CCNDBP1,cyclin D-type binding-protein 1,1.522
54165,DCUN1D1,"DCN1, defective in cullin neddylation 1, domain containing 1",1.522
283431,GAS2L3,growth arrest-specific 2 like 3,1.521
3045,HBD,"hemoglobin, delta",1.521
40,ASIC2,acid-sensing (proton-gated) ion channel 2,1.52
1820,ARID3A,AT rich interactive domain 3A (BRIGHT-like),1.52
114900,C1QTNF4,C1q and tumor necrosis factor related protein 4,1.52
1209,CLPTM1,cleft lip and palate associated transmembrane protein 1,1.52
222642,TSPO2,translocator protein 2,1.52
846,CASR,calcium-sensing receptor,1.519
6663,SOX10,SRY (sex determining region Y)-box 10,1.519
6758,SSX5,"synovial sarcoma, X breakpoint 5",1.519
11152,WDR45,WD repeat domain 45,1.518
404203,SPINK6,"serine peptidase inhibitor, Kazal type 6",1.517
4071,TM4SF1,transmembrane 4 L six family member 1,1.517
51,ACOX1,"acyl-CoA oxidase 1, palmitoyl",1.516
83855,KLF16,Kruppel-like factor 16,1.516
11252,PACSIN2,protein kinase C and casein kinase substrate in neurons 2,1.516
5782,PTPN12,"protein tyrosine phosphatase, non-receptor type 12",1.516
1259,CNGA1,cyclic nucleotide gated channel alpha 1,1.515
5514,PPP1R10,"protein phosphatase 1, regulatory subunit 10",1.515
124912,SPACA3,sperm acrosome associated 3,1.515
87,ACTN1,"actinin, alpha 1",1.514
7850,IL1R2,"interleukin 1 receptor, type II",1.514
80183,KIAA0226L,KIAA0226-like,1.514
10439,OLFM1,olfactomedin 1,1.514
6452,SH3BP2,SH3-domain binding protein 2,1.514
5320,PLA2G2A,"phospholipase A2, group IIA (platelets, synovial fluid)",1.513
57333,RCN3,"reticulocalbin 3, EF-hand calcium binding domain",1.513
8433,UTF1,undifferentiated embryonic cell transcription factor 1,1.513
1510,CTSE,cathepsin E,1.512
57680,CHD8,chromodomain helicase DNA binding protein 8,1.512
10008,KCNE3,"potassium voltage-gated channel, Isk-related family, member 3",1.512
